listing_id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood,district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenity_score,number_of_reviews,review_scores_rating,license,instant_bookable,monthly_earning_€,type
50176056,129217808,Jemyka,0.1,0.5,F,2,2,T,Madrid,Legazpi,Arganzuela,40.38991,-3.69538,Private room,2,1,1,1,3,0,0.0,T,F,703.8899999999999,airbnb
50183786,405024972,Paula,0.0,0.0,F,0,0,F,Madrid,Sol,Centro,40.41785,-3.70165,Entire place,3,1,1,1,2,1,5.0,T,F,4600.42,airbnb
50204821,405214174,Juan Carlos,0.0,0.0,F,0,0,T,Madrid,Justicia,Centro,40.42616,-3.69292,Entire place,2,1,1,1,2,4,4.5,T,T,2234.925,airbnb
50224298,31335415,Monica,1.0,1.0,F,0,0,F,Madrid,Rios Rosas,Chamberí,40.44054,-3.69294,Entire place,2,1,1,1,2,1,5.0,T,T,1940.4,airbnb
50241803,185640248,David,0.6,0.79,F,0,0,F,Madrid,Opañel,Carabanchel,40.39073,-3.71845,Private room,2,1,1,2,0,6,5.0,T,F,575.85,airbnb
50249943,77428516,Juan Pedro,1.0,0.73,F,0,0,T,Madrid,Ciudad Universitaria,Moncloa - Aravaca,40.46457,-3.74947,Entire place,5,1,1,2,0,0,0.0,T,F,2282.3625,airbnb
50253963,36234127,Andrés,0.0,0.0,F,4,4,F,Madrid,Gaztambide,Chamberí,40.43375,-3.71428,Private room,1,1,1,1,1,1,5.0,T,T,914.76,airbnb
50254986,190276078,Federica,0.17,0.0,F,0,0,F,Madrid,Sol,Centro,40.41508,-3.70722,Private room,2,2,2,2,0,0,0.0,T,F,398.475,airbnb
50266467,405653316,Miriam,0.0,0.0,F,1,1,F,Madrid,Casco Histórico de Vallecas,Villa de Vallecas,40.36423,-3.59751,Shared room,1,1,1,1,1,0,0.0,T,T,62.370000000000005,airbnb
50276493,27950839,Paula,0.0,1.0,F,0,0,T,Madrid,Rosas,San Blas - Canillejas,40.42341,-3.60125,Private room,2,1,1,1,4,0,0.0,T,F,803.385,airbnb
50302946,222884560,Miledys,1.0,1.0,F,0,0,T,Madrid,Arapiles,Chamberí,40.43024,-3.71075,Private room,2,1,2,1,1,0,0.0,T,T,623.7,airbnb
50311322,60719624,Musta,1.0,1.0,F,0,0,T,Madrid,Arapiles,Chamberí,40.43431,-3.7105,Private room,2,1,1,3,1,1,5.0,T,T,1160.4214285714286,airbnb
50320524,5282930,Claudia,0.0,0.0,F,0,0,T,Madrid,Justicia,Centro,40.42519,-3.69747,Entire place,2,1,2,2,2,0,0.0,T,F,2314.4,airbnb
50324546,405967070,Paula,0.0,0.0,F,0,0,T,Madrid,Berruguete,Tetuán,40.45951,-3.7011,Private room,2,1,1,2,2,0,0.0,T,F,2779.04,airbnb
50346950,229451747,Leonel Ery,1.0,1.0,F,3,3,T,Madrid,Almendrales,Usera,40.38599,-3.7038,Private room,2,1,2,1,2,0,0.0,T,F,296.99999999999994,airbnb
50374778,292982939,Iñigo,0.38,1.0,F,0,0,F,Madrid,Cuatro Caminos,Tetuán,40.44776,-3.70301,Private room,2,1,1,1,0,0,0.0,T,F,693.0,airbnb
50385114,89692490,Vivian,0.0,0.0,F,1,1,T,Madrid,Pinar del Rey,Hortaleza,40.47448,-3.63792,Private room,1,1,1,1,0,0,0.0,T,T,1315.2857142857142,airbnb
50387003,276261870,Leonardo,1.0,0.8,F,1,1,T,Madrid,Universidad,Centro,40.42268843113344,-3.7025192820616737,Entire place,4,1,2,3,0,0,0.0,T,F,1123.4025,airbnb
50427467,383118478,Jasmin,0.0,0.0,F,0,0,F,Madrid,Puerta del Angel,Latina,40.41044,-3.73559,Private room,2,1,1,2,0,0,0.0,T,F,1089.0,airbnb
50436639,210046208,Fiorella,0.0,0.0,F,0,0,T,Madrid,Lista,Salamanca,40.4294,-3.67369,Private room,1,1,1,1,1,0,0.0,T,T,1454.0625,airbnb
50455911,110176256,Irene,0.6,0.33,F,0,0,F,Madrid,Puerta del Angel,Latina,40.40764,-3.73298,Private room,2,1,1,1,1,0,0.0,T,F,316.8,airbnb
50475833,405659569,Angelica,1.0,1.0,F,1,1,T,Madrid,Embajadores,Centro,40.40921,-3.70277,Entire place,2,1,1,0,1,4,2.0,T,T,248.985,airbnb
50475956,165354009,Federica,0.33,0.67,F,0,0,T,Madrid,Sol,Centro,40.41521,-3.70724,Private room,6,2,3,3,1,1,1.0,T,T,807.345,airbnb
50479311,406174455,Grouber,1.0,1.0,F,0,0,T,Madrid,Trafalgar,Chamberí,40.43136,-3.70039,Private room,2,1,1,1,2,0,0.0,T,T,841.5,airbnb
50480042,139823008,Samuel,1.0,0.92,T,1,1,T,Madrid,Justicia,Centro,40.42202,-3.70082,Private room,2,1,1,1,1,9,4.89,T,T,900.4875,airbnb
50482282,94953184,Robert,0.75,1.0,F,0,0,T,Madrid,Universidad,Centro,40.42438,-3.7039,Private room,1,1,1,1,0,0,0.0,T,F,24.75,airbnb
50488200,22120681,Verónica,1.0,0.73,F,0,0,T,Madrid,Cortes,Centro,40.41016,-3.69407,Entire place,3,1,1,1,4,0,0.0,T,T,188.1,airbnb
50500440,104515935,Gino Franco,0.94,0.35,F,1,1,T,Madrid,Palomeras Bajas,Puente de Vallecas,40.39236,-3.66332,Private room,2,1,1,1,3,5,5.0,T,F,59.4,airbnb
50504429,93724300,Ruth,0.9,0.83,F,2,2,T,Madrid,Guindalera,Salamanca,40.43233,-3.66641,Private room,2,2,1,1,1,0,0.0,T,F,645.5625,airbnb
50523922,10120239,Sheila,1.0,0.0,F,0,0,F,Madrid,Quintana,Ciudad Lineal,40.43266,-3.65535,Entire place,4,1,2,2,3,0,0.0,T,F,1388.475,airbnb
50533872,184560463,J,0.56,0.6,F,0,0,T,Madrid,Embajadores,Centro,40.40921,-3.70792,Entire place,4,1,2,0,0,0,0.0,T,F,277.2,airbnb
50555868,408333512,Diego,0.0,0.0,F,0,0,T,Madrid,Ventas,Ciudad Lineal,40.42598,-3.6551,Private room,1,1,1,2,4,3,5.0,T,F,407.73857142857145,airbnb
50558786,136639935,Julio,1.0,0.8,F,0,0,F,Madrid,Cortes,Centro,40.41945,-3.69866,Private room,2,1,1,1,4,3,5.0,T,T,1505.625,airbnb
50558874,404158743,Chanakya,0.8,0.86,F,1,1,T,Madrid,Ciudad Jardín,Chamartín,40.44688,-3.67554,Private room,2,1,1,0,2,4,4.75,T,F,781.44,airbnb
50602917,407845210,Rajaram,0.0,0.0,F,1,1,F,Madrid,Ciudad Jardín,Chamartín,40.44619,-3.6755,Private room,2,1,1,0,1,2,4.5,T,F,748.6875,airbnb
50619599,408977841,Herman Mauricio,0.0,0.0,F,1,1,T,Madrid,Ibiza,Retiro,40.41987,-3.67776,Entire place,3,1,1,2,2,0,0.0,T,T,792.0,airbnb
50638269,256442334,Juan Pablo,1.0,0.5,F,0,0,T,Madrid,Guindalera,Salamanca,40.431511,-3.666008,Private room,3,1,1,1,2,1,5.0,T,F,991.98,airbnb
