listing_id,monthly_earning_€
6369,4756.8675
21853,813.45
23001,1210.0
24805,4127.5575
26825,477.88714285714286
28200,1683.55
30320,1640.925
30478,371.25
30959,2828.925
40718,1615.8600000000001
40916,2272.05
47957,3443.3849999999998
62423,442.53000000000003
70059,3045.3224999999998
70073,1909.017
70310,1587.41
70315,1615.6799999999998
70316,1661.34375
72150,3574.8900000000003
74352,3326.4
75609,1777.545
82481,3292.575
84719,5593.5
86042,6947.325
89954,2941.488
92920,1041.35625
93100,532.0425
96807,853.38
100411,3143.25
102040,1156.65
102194,7397.775000000001
103522,1394.7862499999999
103541,2186.6625
114854,2647.425
119389,2712.6
120293,326.30400000000003
120762,756.855
123864,2813.0025
127819,2958.813
132428,553.5337499999999
136058,404.66249999999997
150123,11753.189999999999
153798,4736.442857142857
156555,538.2
163429,1705.2749999999999
167183,451.83600000000007
169766,1755.105
170750,1736.2124999999999
177523,3095.0699999999997
177846,382.14
196197,2101.275
199016,388.08
199201,1687.05
201033,534.6
204570,8865.45
205199,1430.0
208504,1734.48
209373,1007.3249999999999
211444,983.4000000000001
217674,2633.4
219303,442.26000000000005
225462,740.88
225489,1309.6875
229664,1103.85
231861,2755.5
250858,816.75
256004,7127.01
260656,2435.0400000000004
260951,6532.35
261878,6351.2625
263748,6667.4025
268275,2065.3875
272279,2470.5
280733,4296.27
281224,4037.3025
287660,1571.625
289555,605.88
294520,338.38199999999995
294529,133.84799999999998
297017,17933.85
310333,2230.305
310678,2546.9399999999996
315682,5046.75
316711,4214.1
318826,891.0
336672,8666.707499999999
336834,3399.825
336869,7908.120000000001
337292,1833.5625
339144,2345.3925
339171,4814.617499999999
339813,79.2
341939,1452.3300000000002
342095,1585.9799999999998
342557,873.6749999999998
342670,5484.6
345195,2690.3250000000003
345230,2113.1549999999997
345233,2113.1549999999997
345249,1739.925
347510,149665.824
348065,738.0
354838,3667.125
361053,4741.275
363476,1096.2269999999999
371532,4364.25
375472,2206.875
376379,1404.3975
377151,903.375
396532,2461.05
397778,1657.2600000000002
398450,1593.075
402588,2085.75
404569,1763.41
406341,1117.98
406697,2614.92
410699,7962.899999999999
414763,1587.135
415967,4325.0625
416705,326.7
420039,2112.4125000000004
424816,870.21
425616,2227.5
427407,1367.1000000000001
429306,9843.24
429604,1135.8
434107,2030.688
439715,4248.75
440596,1123.6499999999999
