id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,price_€,room_type,accommodates,bathrooms,bedrooms,beds,lift,heating,aircon,exterior,garden,pool,terrace,balcony,storage,amenity_score,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
35966629,262845711,Marisa,0.0,0.0,F,5,5,F,Madrid,Aluche,Latina,40.39756,-3.76169,77.22,Entire place,6,2,4,2,1,0,0,0,0,0,0,0,0,1,90,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35786576,182198224,Gosmanp,1.0,1.0,T,2,2,T,Madrid,Palacio,Centro,40.40973,-3.7126,90.09,Entire place,6,1,2,4,1,0,0,0,0,0,0,0,0,1,1,90,170,4.74,4.83,4.89,4.85,4.92,4.92,4.74,T,T,4.74
35787513,68802394,Minty,0.0,0.0,F,246,246,T,Madrid,Universidad,Centro,40.42096,-3.70479,116.82,Entire place,3,1,1,1,1,0,1,0,0,0,0,0,0,2,1,1125,34,4.74,4.91,4.71,4.85,4.88,4.88,4.62,T,F,0.95
35793643,17453,Cara,0.0,0.0,F,1,1,T,Madrid,Sol,Centro,40.4161,-3.70845,193.05,Entire place,4,1,1,2,1,0,1,0,1,0,0,1,1,5,2,1125,151,4.96,4.97,4.95,4.97,4.95,4.99,4.87,T,F,4.2
35793775,118558566,Berta,0.0,0.0,F,2,2,F,Madrid,Aguilas,Latina,40.37778,-3.76527,52.47,Shared room,1,1,1,1,1,0,1,0,0,0,0,0,0,2,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35794634,255736246,Mirian,1.0,0.0,F,1,1,F,Madrid,Aguilas,Latina,40.38222,-3.7831,24.75,Private room,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1125,1,4.0,4.0,5.0,5.0,5.0,5.0,4.0,T,F,0.03
35799260,3746437,Nuria,1.0,1.0,T,21,21,T,Madrid,Cortes,Centro,40.41313,-3.69898,118.8,Entire place,2,1,1,1,0,0,1,0,0,0,0,0,0,1,28,180,11,4.82,4.73,4.82,4.82,5.0,4.91,4.55,T,F,0.32
35800933,143213408,Alejandra,0.0,0.0,F,1,1,T,Madrid,Numancia,Puente de Vallecas,40.39647,-3.65514,19.8,Private room,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35815996,269431434,Nahuel,0.0,0.0,F,1,1,T,Madrid,Lista,Salamanca,40.43565,-3.67664,104.94,Entire place,6,1,2,2,1,0,0,0,0,0,0,0,0,1,1,1125,2,4.0,4.0,5.0,5.0,4.5,5.0,5.0,T,F,0.06
35832605,16219667,L Leopoldo,0.0,0.0,F,4,4,T,Madrid,Universidad,Centro,40.4296,-3.7143,76.23,Entire place,4,1,1,2,1,0,1,0,0,0,0,1,0,3,4,330,18,4.83,4.89,4.78,4.78,4.83,4.89,4.67,T,F,0.51
35969514,138143167,Carlos,0.0,0.0,F,1,1,T,Madrid,Embajadores,Centro,40.40894,-3.70295,24.75,Private room,3,1,1,2,0,0,0,0,0,0,0,0,0,0,2,6,23,4.24,4.43,4.19,4.86,4.9,4.86,4.29,T,T,0.67
35978200,270652660,Charo Carrasco,0.67,0.0,F,2,2,T,Madrid,San Diego,Puente de Vallecas,40.38284,-3.66769,16.83,Private room,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,30,7,5.0,5.0,4.86,5.0,5.0,4.71,5.0,T,F,0.2
35987869,143517366,Natalia,0.0,0.0,F,2,2,T,Madrid,Palos de Moguer,Arganzuela,40.40638,-3.69491,29.7,Private room,2,1,1,2,0,0,0,0,0,0,0,0,0,0,3,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35836726,82116503,Carlos,0.0,0.0,F,1,1,T,Madrid,Palacio,Centro,40.42181,-3.70912,59.4,Private room,2,1,2,1,1,0,1,0,0,0,0,0,0,2,1,7,8,4.63,4.5,4.5,4.5,4.88,5.0,4.63,T,F,0.22
35988268,270729223,Dingo Investments,1.0,0.94,F,1,1,T,Madrid,Palacio,Centro,40.42053,-3.70653,133.65,Entire place,4,1,1,1,1,0,1,0,0,0,0,0,0,2,1,1125,21,4.86,4.95,4.9,4.95,5.0,4.86,4.76,T,F,0.59
35988623,17321104,Silva,0.8,0.36,F,1,1,T,Madrid,Universidad,Centro,40.42856,-3.70398,193.05,Entire place,5,2,2,2,1,0,1,0,0,0,0,1,0,3,2,1125,7,5.0,5.0,5.0,5.0,5.0,4.86,4.86,T,F,0.21
36007780,163316548,Ricardo,0.0,0.4,F,1,1,T,Madrid,Embajadores,Centro,40.41148,-3.69871,39.6,Entire place,4,0,1,1,0,0,0,0,0,0,0,0,0,0,7,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
