id,listing_id,host_id,host_name,city,district,neighbourhood,latitude,longitude,house_type,bathrooms,bedrooms,amenity_score,monthly_earning_€,type
1,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,3,3108.0,sale
2,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Unknown,1.0,0,2,1256.0,sale
3,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,2,4,2194.0,sale
4,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,3,4,3251.0,sale
5,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,5,3670.0,sale
6,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,4,6,4323.0,sale
7,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,1,4,1623.0,sale
8,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,4,3467.0,sale
9,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,4,2365.0,sale
10,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,4,2977.0,sale
11,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,3.0,3,5,4560.0,sale
12,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,1,1485.0,sale
13,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,3,1754.0,sale
14,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,1,1060.0,sale
15,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,4,2814.0,sale
16,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Lofts,1.0,2,3,2920.0,sale
17,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,4,3,3581.0,sale
18,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,4,1713.0,sale
19,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,4,1713.0,sale
20,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,4,3662.0,sale
21,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Duplex,2.0,3,6,4070.0,sale
22,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Duplex,2.0,4,5,9213.0,sale
23,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,4,4323.0,sale
24,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,5,4486.0,sale
25,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Duplex,2.0,3,6,4070.0,sale
26,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Lofts,1.0,1,2,1256.0,sale
27,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,6,3744.0,sale
28,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,4,4201.0,sale
29,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,2,5,3467.0,sale
30,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,6,3907.0,sale
31,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,5,4176.0,sale
32,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,3,2773.0,sale
33,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,4,5,4405.0,sale
34,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,4,1142.0,sale
35,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,3,3548.0,sale
36,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,6,3634.0,sale
37,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,4,2325.0,sale
38,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,3,3,2439.0,sale
39,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,4,4,2928.0,sale
40,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,5,2520.0,sale
41,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Unknown,2.0,0,3,3630.0,sale
42,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,1,3,1794.0,sale
43,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,1.0,2,5,2610.0,sale
44,2222,2222,Unknown,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Flat,2.0,3,5,4282.0,sale
